Species2_eBird,Family2,Order2,Mass,Habitat,Habitat.Density,Trophic.Level,Trophic.Niche,Migration,Primary.Lifestyle,mu.beak.l.c,mu.beak.l.n,mu.beak.w,mu.beak.d,mu.tarsus.l,mu.hwi,mu.tail.l
Accipiter toussenelii,Accipitridae,Accipitriformes,249.3,Forest,1,Carnivore,Vertivore,1,Insessorial,24.38,13.879999999999999,9.18,11.89,62.11,24.409999999999997,157.18333333333334
Accipiter trinotatus,Accipitridae,Accipitriformes,146,Forest,1,Carnivore,Vertivore,1,Insessorial,20.4,13.3125,8.58,11.2,48.2,27.2,128.8
Accipiter trivirgatus,Accipitridae,Accipitriformes,265,Forest,1,Carnivore,Vertivore,1,Insessorial,31.71333333333333,17.27857142857143,10.503333333333334,14.123076923076923,56.913333333333334,22.996428571428574,171.91666666666669
Accipiter virgatus,Accipitridae,Accipitriformes,117,Forest,1,Carnivore,Vertivore,2,Generalist,21.22,11.714285714285714,7.613333333333333,10.193333333333333,49.82,27.39230769230769,123.88333333333333
Aceros nipalensis,Bucerotidae,Bucerotiformes,2385,Forest,1,Herbivore,Frugivore,1,Insessorial,204,177.68333333333334,45.38333333333333,75.11666666666667,74.7,21.616666666666667,457.68333333333334
Achaetops pycnopygius,Macrosphenidae,Passeriformes,28.3,Rock,3,Carnivore,Invertivore,1,Insessorial,20.08,9.5,3.3,4.6,24.22,6.574999999999999,79.4
Acridotheres albocinctus,Sturnidae,Passeriformes,98.9,Grassland,3,Omnivore,Omnivore,1,Generalist,28.189999999999998,15.3125,5.8100000000000005,7.29,36.72,25.3125,80.7
Acridotheres burmannicus,Sturnidae,Passeriformes,89,Grassland,3,Omnivore,Omnivore,2,Generalist,23.424999999999997,14.225,4.824999999999999,5.9125,31.7875,26.8875,68
Acridotheres cinereus,Sturnidae,Passeriformes,98.9,Grassland,3,Omnivore,Omnivore,2,Generalist,27.3125,15.9,6.5,7.425000000000001,36,23.5125,79
Acridotheres cristatellus,Sturnidae,Passeriformes,116.3,Grassland,3,Omnivore,Omnivore,2,Generalist,27.10909090909091,15.683333333333334,6.118181818181818,8.118181818181817,38.118181818181824,24.083333333333336,81.19090909090909
Acridotheres fuscus,Sturnidae,Passeriformes,82.8,Woodland,2,Omnivore,Omnivore,2,Insessorial,27.189999999999998,16.1125,6.609999999999999,7.29,36.5,24.7125,74.9
Acridotheres ginginianus,Sturnidae,Passeriformes,72,Grassland,3,Omnivore,Omnivore,2,Generalist,24.375,14.2,5.508333333333333,6.7,34.225,24.3125,77.5
Acridotheres grandis,Sturnidae,Passeriformes,98.9,Grassland,3,Omnivore,Invertivore,1,Generalist,25.8875,16.8875,6.6125,7.9,36.5,24.875,77.225
Acridotheres javanicus,Sturnidae,Passeriformes,93.5,Grassland,3,Omnivore,Invertivore,1,Generalist,25.8875,14.7,5.9125,7.1875,35.9,21.2875,70.5
Acridotheres melanopterus,Sturnidae,Passeriformes,89,Woodland,3,Herbivore,Omnivore,1,Insessorial,25.409999999999997,14.8125,5.51,6.220000000000001,35.78,22.9,72.6
Acridotheres tristis,Sturnidae,Passeriformes,116.4,Human Modified,3,Carnivore,Omnivore,2,Terrestrial,26.820833333333333,15.99,6.425000000000001,7.991666666666667,38.6,23.595,84.79583333333333
Acrobatornis fonsecai,Furnariidae,Passeriformes,13.7,Forest,1,Carnivore,Invertivore,1,Insessorial,10.375,7.2875,2.9875,3.6,17.5875,21.225,56.6125
Acrocephalus aequinoctialis,Acrocephalidae,Passeriformes,25,Shrubland,3,Carnivore,Invertivore,1,Generalist,20.9,11,3.4,3.5,24.5,19.5,63.5
