Group,Genus,Species,Subspecies,Specimen ID,Date,Data,Country,Locality,Elevation,Other Info,Sex,Mass,Wing.Length,Secondary.Length,Kipps_D,HWI,Tarsus.Length,Tail.Length,Beak.Width,Beak.Depth,Beak.Length_Culmen,Measurer
Mainland,Coereba,flaveola,mexicana,2178,13/07/1949,,MEXICO,Oaxaca: LaCova,1000m,skele fragments,M,NA,54.02,46.9,7.12,13.18030359,15.56,37.79,3.12,3.3,12.69,Mia
Mainland,Coereba,flaveola,mexicana,2179,25/07/1949,N,MEXICO,Oaxaca: LaCova,1000m,,M,NA,54.52,46.28,8.24,15.11371974,14.8,35.87,3.06,3.35,12.76,Mia
Mainland,Coereba,flaveola,pacifica,49413,18/10/2011,Y,PERU,Peru Depto. Plura Plov. SullaNA Coto de Caze El Angolo 14km SE FerNAndez 4 degrees 14.33'S 80 degrees 44.70'W,854m,"netted, semideciduous forest, p skele",M,8.8,56.47,49.06,7.41,13.12201169,16.96,30.38,3,3.52,13.79,Brynn
Mainland,Coereba,flaveola,magnirostris,49256,14/10/2010,Y,PERU,PERU: DEPTO. CAJAMARCA; PROV. JAEN; AREA DE CONSERVACION PRIVADA GOTAS DE AGUA,NA,NA,M,11.06,69.52,55.29,14.23,20.4689298,17.08,41.21,3.46,3.62,17.15,Brynn
Mainland,Coereba,flaveola,magnirostris,49222,17/10/2010,Y,PERU,PERU: DEPTO. CAJAMARCA; PROV. JAEN; AREA DE CONSERVACION PRIVADA GOTAS DE AGUA,NA,NA,M,9.43,63.65,53.53,10.12,15.89945012,17.33,29.08,3.46,3.73,15.68,Brynn
Mainland,Coereba,flaveola,magnirostris,49226,18/10/2010,Y,PERU,PERU: DEPTO. CAJAMARCA; PROV. JAEN; AREA DE CONSERVACION PRIVADA GOTAS DE AGUA,NA,NA,F,9.19,58.38,51.35,7.03,12.04179514,16.2,33.45,3.36,3.56,16.35,Brynn
Mainland,Coereba,flaveola,magnirostris,49235,21/10/2010,Y,PERU,PERU: DEPTO. CAJAMARCA; PROV. JAEN; AREA DE CONSERVACION PRIVADA GOTAS DE AGUA,NA,NA,F,8.73,58.4,51.74,6.66,11.40410959,17.25,33.68,3.33,3.57,13.9,Brynn
Mainland,Coereba,flaveola,magnirostris,47340,7/11/09,Y,PERU,PERU: DEPTO. AMAZONAS; PROV. CHACHAPOYAS; BALSAS,NA,NA,M,7.45,54.82,51.57,3.25,5.928493251,16.52,33.26,3.32,3.89,14.83,Brynn
Mainland,Coereba,flaveola,magnirostris,47367,,Y,PERU,,,,,8.75,60.05,50.75,9.3,15.48709409,17.04,36.03,2.91,3.54,14.78,Brynn
Mainland,Coereba,flaveola,magnirostris,47381,,Y,PERU,,,,,9.85,61.97,56.79,5.18,8.358883331,15.95,40.21,3.13,3.46,14.79,Brynn
Island,Coereba,flaveola,luteola,45995,,Y,TRINIDAD & TOBAGO,,,,,9.9,57.59,49.38,8.21,14.25594721,17.36,35.14,3.22,3.67,12.06,Brynn
Island,Coereba,flaveola,luteola,45892,,Y,TRINIDAD & TOBAGO,,,,,10.1,58.43,51.08,7.35,12.57915454,16.66,42.87,3.11,3.82,12.47,Brynn
Island,Coereba,flaveola,luteola,45902,,Y,TRINIDAD & TOBAGO,,,,,9.45,57.15,45.4,11.75,20.55993001,17.19,38.48,3.41,3.87,12.78,Brynn
Island,Coereba,flaveola,luteola,46008,,Y,TRINIDAD & TOBAGO,,,,,10.2,56.25,43.56,12.69,22.56,17.95,41.52,3.29,3.52,12.36,Brynn
Island,Coereba,flaveola,,56059,,N,PUERTO RICO,,,,,NA,59.04,51.41,7.63,12.92344173,16.59,42.42,3.18,NA,14.46,Brynn
Island,Coereba,flaveola,,56058,,N,PANAMA,,,,,NA,56.67,48.79,7.88,13.90506441,15.94,35.01,2.74,3.54,13.41,Brynn
Island,Coereba,flaveola,barthomelica,10193,,N,DUTCH WEST INDIES,,,,,NA,58.36,46.62,11.74,20.11651816,17.98,42.48,3.13,3.32,13.55,Brynn
Island,Coereba,flaveola,barbadensis,10251,,N,BARBADOS,,,,,NA,61.3,50.93,10.37,16.91680261,18.62,47.76,2.72,3.19,12.63,Brynn
Island,Coereba,flaveola,barbadensis,10225,,N,BARBADOS,,,,,NA,55.29,45.77,9.52,17.21830349,17.48,35.65,2.98,3.06,12.38,Brynn
Island,Coereba,flaveola,barbadensis,10224,,N,BARBADOS,,,,,NA,53.78,45.66,8.12,15.09854965,16.82,33.91,2.98,3.26,11.63,Brynn
Island,Coereba,flaveola,barbadensis,10223,,N,BARBADOS,,,,,NA,51.98,42.1,9.88,19.0073105,16.46,38.61,2.56,2.98,12.16,Brynn
